id,restaurants,name,type,price,location,description,foodScore,decorScore,serviceScore,review
0,animi aut consectetur,rerum,$$$,minima,Et molestias assumenda eos.,2.8,3.9,4.1,Veritatis ipsa quo. Est culpa aliquam. Velit ut et dolor. Natus sit dolorum quos dolorem ducimus sed omnis labore. Ducimus doloribus et sint distinctio quidem quia molestiae.
1,eius et enim,corrupti,$,aut,Quo eius magni.,1.7,0.9,2.4,Necessitatibus quisquam impedit autem corporis error voluptatem nesciunt possimus. Quae rerum ut sit aut eum sed. Animi atque et alias fugit. Eius qui eum quis sed. Qui quisquam voluptatem ut totam asperiores dolore accusamus error voluptas. Dolore debitis nulla molestiae repellendus.
2,facilis nostrum ut,nisi,$$,voluptatem,Veritatis quasi est.,4.0,1.7,4.8,Debitis sit suscipit odio in. Nesciunt excepturi nihil voluptatem et voluptatibus voluptatem sunt. Aliquid corrupti error debitis similique magni laborum id qui.
3,et quos ratione,consequatur,$,blanditiis,Neque voluptatem doloremque et eos maiores dolorem.,2.2,4.4,1.1,Et commodi molestiae sequi dolorem iure magnam placeat doloremque. Fugit nihil soluta. Sunt ad ab. Officia laboriosam et. Quas veritatis quidem cumque et qui vel quasi non iusto.
4,excepturi dolorem tempora,molestiae,$$$$,nemo,Quod ut autem.,2.5,3.5,2.0,Consequatur neque consequatur excepturi eaque. Consequuntur qui velit aspernatur sapiente non totam quisquam et aut. Voluptatem vel sit quia laudantium consequuntur qui possimus vel.
5,ad sed minima,voluptatibus,$$,omnis,Est exercitationem distinctio sunt vitae sunt aliquam quaerat et.,3.2,1.0,3.9,Aut omnis eum. Sunt rem ab quo sit ea aut eius deleniti debitis. Corporis velit quo soluta et aut nemo corrupti dolorem quia. Nesciunt sit architecto perferendis. Neque non voluptatum fugiat.
6,dolores aut quia,eum,$,fuga,Est rerum perspiciatis eligendi.,4.4,3.9,0.8,Iusto voluptatem eaque reiciendis dolore. Aut nihil explicabo fugiat. Molestiae aut sed nisi voluptatem. Nostrum consequatur aliquid exercitationem vero laborum. Et accusantium delectus velit numquam sunt non. Qui laborum aut aut expedita id.
7,totam nihil molestiae,voluptatibus,$$,voluptas,Voluptate labore quia ratione sit magnam dolorem sint quia.,2.5,1.0,4.5,Nihil maxime aut eaque commodi sit nesciunt nisi dolor quo. Culpa eaque quia corrupti dolorem nulla aut itaque iusto. Dolor nisi reiciendis id incidunt nemo odio a. Ut repellat assumenda similique.
8,asperiores similique quia,occaecati,$$$$,consequatur,At voluptas dignissimos debitis eum officiis exercitationem.,3.5,0.8,4.7,Quasi aut autem provident quia tempore aut. Accusantium qui unde est. Maxime ullam facere enim est. Officiis asperiores architecto velit consequatur quis amet error.
9,atque omnis et,velit,$,ut,Molestias veritatis nam in voluptate illum.,3.7,4.0,0.3,Temporibus cumque ea et nam voluptas et. Delectus sed aut. Nam amet et possimus iste assumenda fuga quisquam voluptatum sed. Delectus velit quia quas repellendus illum. Nostrum provident libero qui mollitia aliquid aliquid.
10,illo est quas,qui,$$,nulla,Harum quaerat autem consequuntur quia pariatur.,3.8,4.2,4.1,Iusto qui porro adipisci eligendi ut sunt eveniet nostrum ipsam. Molestiae vero et ad placeat aut adipisci perferendis. Dolores quia animi ea eum laudantium.
